FILE NAME,THETA_X,THETA_Y,EXPECTED_Y,THETA_Z,HEAD_CENTER_X,HEAD_CENTER_Y,HEAD_CENTER_Z
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_8_3.raw,10.1438,4.583,4.917,-1.48931,34.7786,-40.864,704.501
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_9_1.raw,11.236,11.3329,14.1671,-3.40479,29.1074,-36.4398,706.137
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_9_2.raw,12.0695,20.1695,5.33054,-5.4568,11.4059,-26.9928,716.254
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_9_3.raw,11.3852,19.8695,5.63048,-5.12602,12.7548,-28.5955,715.245
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_1_1.raw,-8.51817,21.2263,12.7737,0.804848,42.7531,7.21067,745.95
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_1_2.raw,-10.3128,20.1212,13.8788,0.605936,40.8697,5.86487,745.465
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_1_3.raw,-9.75021,20.4839,13.5161,0.850278,41.2087,5.52518,746.744
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_2_1.raw,-6.49288,19.4584,-16.9584,-0.445647,38.8841,9.1362,739.962
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_2_2.raw,-6.24634,21.8226,-19.3226,-1.06317,36.5025,10.9499,740.213
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_2_3.raw,-5.59528,19.5806,-17.0806,-1.30834,38.6571,11.9742,739.712
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_3_1.raw,-3.76372,20.3793,-17.8793,-0.865839,37.6441,13.9412,737.832
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_3_2.raw,-2.17929,19.5959,-17.0959,-1.73393,36.9397,18.898,736.3
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_3_3.raw,-1.93033,20.991,-18.491,-1.64949,36.6803,18.4182,737.24
